osm_id,surface,tracktype,highway,name
18236548,unpaved,,path,
19796245,compacted,,footway,
23312135,compacted,,pedestrian,
23691352,fine_gravel,,footway,
23707889,wood,,path,桜門橋
24432923,unpaved,,track,
24535543,unpaved,,residential,
24535734,unpaved,,path,
24537031,unpaved,,footway,
24537187,unpaved,,residential,
24539548,,grade2,service,
24674300,,grade2,track,
24675631,,grade2,footway,
24856437,unpaved,,residential,
24856438,unpaved,,residential,
24888452,asphalt,grade4,track,
24932083,sand,,footway,
24987249,unpaved,,path,
25146506,fine_gravel,,service,
25213887,unpaved,,footway,花美之路地
25213890,unpaved,,footway,
25244212,unpaved,,path,
25244219,unpaved,,footway,
25345456,unpaved,,service,
25345466,unpaved,,service,
25345501,unpaved,,footway,
25345503,unpaved,,footway,
25363589,unpaved,,service,
25363593,unpaved,,footway,
25363597,unpaved,,footway,
25381514,unpaved,,path,
25381586,gravel,,track,
25454186,unpaved,,residential,
25470137,unpaved,,service,
25470138,unpaved,,footway,
25470140,unpaved,,residential,
25470151,unpaved,,residential,
25470152,unpaved,,residential,
25470154,unpaved,,residential,
25484694,unpaved,,residential,
25484702,unpaved,,footway,
25484703,unpaved,,footway,
25504694,ground,,path,六間川桜並木
25523853,,grade2,track,
25567116,unpaved,,service,
25609583,unpaved,,path,
25609591,unpaved,,service,
25656703,unpaved,,service,
25682599,unpaved,,service,
25682600,unpaved,,footway,
25682605,unpaved,,service,
25682618,unpaved,,footway,
25682623,unpaved,,path,
25682625,unpaved,,path,
25682633,unpaved,,footway,
25682661,unpaved,,residential,
25682680,unpaved,,footway,
25682681,unpaved,,footway,
25682686,unpaved,,footway,
25743024,unpaved,,service,
25743048,unpaved,,residential,
25743049,unpaved,,service,
25743056,unpaved,,residential,
25743066,unpaved,,residential,
25743085,unpaved,,residential,
25743090,unpaved,,residential,
25743102,unpaved,,residential,
25743129,unpaved,,service,
25743131,unpaved,,service,
25743132,unpaved,,service,
25743133,unpaved,,service,
25782480,unpaved,,residential,
25782496,unpaved,,residential,
25782504,unpaved,,footway,
25782505,unpaved,,residential,
25846617,unpaved,,residential,
25906996,unpaved,,footway,
25907032,unpaved,,residential,
25907074,unpaved,,residential,
25931130,unpaved,,service,
25931131,unpaved,,service,
25931135,unpaved,,service,
25949519,unpaved,,service,
25949534,unpaved,,footway,
25949543,unpaved,,service,
26120055,unpaved,,footway,
26186634,unpaved,,steps,
26186654,fine_gravel,,path,
26186657,pebblestone,,path,
26207504,fine_gravel,,steps,
26207577,dirt,,path,
26207693,dirt,,path,
26208626,wood,,path,
26208669,wood,,path,
26208748,wood,,path,
26208819,wood,,path,
26209086,fine_gravel,,path,
26209366,wood,,path,
26209591,dirt,,path,
26233877,fine_gravel,,footway,
26234583,wood,,path,
26234585,wood,,path,
26250909,fine_gravel,,path,
26250910,fine_gravel,,path,
26250913,wood,,path,
26250931,wood,,path,
26250932,wood,,path,
26300482,gravel,,track,
26300483,unpaved,,path,
26300492,unpaved,,residential,
26380196,wood,,path,
26409555,unpaved,,residential,
26447255,gravel,,track,
26496643,compacted,,footway,
26596354,earth,,footway,
26684819,,grade2,track,森厚沢部線
26696909,,grade3,track,
26696911,,grade3,track,
26696938,,grade3,track,
26697283,,grade2,track,三岱１号線
26697328,fine_gravel,,unclassified,林道 三岳線
26699787,fine_gravel,,service,
26699793,fine_gravel,,service,
26699810,fine_gravel,,service,
26699841,fine_gravel,,service,
26699866,gravel,,service,
